address,price,beds,bath,size,place
1101 18th Ave S 610,"$500,000",2 Beds,2 Baths,"1,257 Sq. Ft.","Nashville, TN, 37212"
1350 Rosa L Parks Blvd 351,"$525,000",1 Bed,1 Bath,931 Sq. Ft.,"Nashville, TN, 37208"
5212A Michigan Ave,"$719,900",3 Beds,3 Baths,"2,196 Sq. Ft.","Nashville, TN, 37209"
1810 Northview Ave,"$584,000",3 Beds,3 Baths,"1,761 Sq. Ft.","Nashville, TN, 37216"
1130 Delmas Ave,"$500,000",4 Beds,2 Baths,"1,798 Sq. Ft.","Nashville, TN, 37216"
1021 Maplewood Pl,"$585,000",3 Beds,3 Baths,"1,838 Sq. Ft.","Nashville, TN, 37216"
308 Rose Hall,"$399,000",2 Beds,2 Baths,"1,250 Sq. Ft.","Nashville, TN, 37212"
110 31st Ave N 508,"$749,900",2 Beds,2 Baths,"1,889 Sq. Ft.","Nashville, TN, 37203"
1125 10th Ave N 306,"$675,000",2 Beds,2 Baths,"1,261 Sq. Ft.","Nashville, TN, 37208"
1407 Ardee Ave,"$379,999",2 Beds,1 Bath,902 Sq. Ft.,"Nashville, TN, 37216"
4225 Harding Road 602,"$295,000",1 Bed,1 Bath,880 Sq. Ft.,"Nashville, TN, 37205"
109 Peak Hill Cir,"$472,900",3 Beds,2 Baths,"1,559 Sq. Ft.","Nashville, TN, 37211"
5344 Hunters Rdg,"$379,000",3 Beds,2 Baths,"1,135 Sq. Ft.","Nashville, TN, 37211"
1007 Chicamauga Ave,"$425,000",2 Beds,1 Bath,831 Sq. Ft.,"Nashville, TN, 37206"
1500 Lock Rd,"$4,500,000",1 Bed,2 Baths,"2,226 Sq. Ft.","Nashville, TN, 37207"
3304A Curtis St,"$299,000",2 Beds,1 Bath,877 Sq. Ft.,"Nashville, TN, 37218"
605A James Ave,"$699,999",4 Beds,3 Baths,"2,358 Sq. Ft.","Nashville, TN, 37209"
4209A Lone Oak Rd,"$1,699,000",4 Beds,3 Baths,"3,696 Sq. Ft.","Nashville, TN, 37215"
1350 Rosa L Parks Blvd 333,"$399,900",1 Bed,1 Bath,672 Sq. Ft.,"Nashville, TN, 37208"
700 Church St 808,"$398,000",1 Bed,1 Bath,744 Sq. Ft.,"Nashville, TN, 37203"
2301 Alameda St,"$500,000",3 Beds,2 Baths,"1,260 Sq. Ft.","Nashville, TN, 37208"
511C Chesterfield Ave,"$739,900",3 Beds,4 Baths,"1,888 Sq. Ft.","Nashville, TN, 37212"
1737 Pecan St 4,"$865,000",3 Beds,4 Baths,"1,814 Sq. Ft.","Nashville, TN, 37208"
3242 Viking Road,"$419,000",4 Beds,2 Baths,"1,292 Sq. Ft.","Nashville, TN, 37218"
5313A Illinois Ave,"$749,000",3 Beds,3 Baths,"2,019 Sq. Ft.","Nashville, TN, 37209"
6114 Hill Cir,"$2,350,000",4 Beds,5 Baths,"4,022 Sq. Ft.","Nashville, TN, 37209"
1616 West End Ave 3111,"$1,150,000",1 Bed,2 Baths,"1,124 Sq. Ft.","Nashville, TN, 37203"
4005 Kennedy Ave,"$719,997",4 Beds,3 Baths,"2,000 Sq. Ft.","Nashville, TN, 37216"
1723 Kingsbury Dr,"$1,095,000",4 Beds,4 Baths,"3,231 Sq. Ft.","Nashville, TN, 37215"
1009 Battery Ln,"$1,750,000",4 Beds,5 Baths,"3,798 Sq. Ft.","Nashville, TN, 37220"
552 McMurray Dr,"$599,900",5 Beds,3 Baths,"3,538 Sq. Ft.","Nashville, TN, 37211"
3188 Robwood Dr,"$370,000",3 Beds,2 Baths,"1,175 Sq. Ft.","Nashville, TN, 37207"
200 Bermuda Dr,"$675,000",3 Beds,2 Baths,"2,596 Sq. Ft.","Nashville, TN, 37214"
5610 New York Ave,"$800,000",4 Beds,3 Baths,"2,660 Sq. Ft.","Nashville, TN, 37209"
1010 Monroe St,"$1,500,000",4 Beds,5 Baths,"3,674 Sq. Ft.","Nashville, TN, 37208"
5208 Louisiana Ave,"$799,900",3 Beds,3 Baths,"2,248 Sq. Ft.","Nashville, TN, 37209"
3524B Sanford Ave,"$575,000",3 Beds,3 Baths,"1,960 Sq. Ft.","Nashville, TN, 37211"
2010 Cedar Ln A,"$1,595,000",4 Beds,5 Baths,"3,511 Sq. Ft.","Nashville, TN, 37212"
323 Garfield St,"$999,500",3 Beds,4 Baths,"2,258 Sq. Ft.","Nashville, TN, 37208"
441 Belle Pointe Drive,"$525,000",3 Beds,2 Baths,"2,238 Sq. Ft.","Nashville, TN, 37221"
1820 16th Ave N B,"$515,000",3 Beds,3 Baths,"1,827 Sq. Ft.","Nashville, TN, 37208"
608 Clematis Dr,"$950,000",4 Beds,4 Baths,"3,786 Sq. Ft.","Nashville, TN, 37205"
3507 Wilbur Pl,"$949,900",3 Beds,3 Baths,"2,343 Sq. Ft.","Nashville, TN, 37204"
2609B Alpine Park Ave,"$695,000",4 Beds,3 Baths,"2,070 Sq. Ft.","Nashville, TN, 37218"
605 S 13th St,"$1,585,000",5 Beds,5 Baths,"3,783 Sq. Ft.","Nashville, TN, 37206"
720 Croley Dr,"$672,000",3 Beds,3 Baths,"1,504 Sq. Ft.","Nashville, TN, 37209"
907 S 12th St,"$1,799,000",4 Beds,5 Baths,"3,671 Sq. Ft.","Nashville, TN, 37206"
414 Munn Rd,"$1,800,000",2.88 Acres,,,"Nashville, TN, 37214"
3020 Richmond Hill Dr,"$550,000",4 Beds,3 Baths,"1,873 Sq. Ft.","Nashville, TN, 37207"
7277 Charlotte Pike 308,"$415,000",3 Beds,3 Baths,"1,820 Sq. Ft.","Nashville, TN, 37209"
1001 Clifton Ln 6,"$480,000",2 Beds,2 Baths,"1,241 Sq. Ft.","Nashville, TN, 37204"
712 Harding Pl,"$539,900",3 Beds,3 Baths,"1,536 Sq. Ft.","Nashville, TN, 37211"
2110 Portland Ave 304,"$499,900",2 Beds,1 Bath,"1,082 Sq. Ft.","Nashville, TN, 37212"
3013 Medial Ave,"$3,690,000",6 Beds,8 Baths,"6,236 Sq. Ft.","Nashville, TN, 37215"
2104 McKennie Ave,"$950,000",5 Beds,3 Baths,"2,895 Sq. Ft.","Nashville, TN, 37206"
940 Gale Ln,"$510,000",2 Beds,2 Baths,"1,144 Sq. Ft.","Nashville, TN, 37204"
0 Newsom Station Road,"$982,350",21.8 Acres,,,"Nashville, TN, 37221"
1320 Greenstone Ln,"$759,000",5 Beds,4 Baths,"3,665 Sq. Ft.","Nashville, TN, 37221"
517 Cinnamon Pl,"$500,000",3 Beds,3 Baths,"2,312 Sq. Ft.","Nashville, TN, 37211"
900 20th Ave S Apt 1005,"$649,900",1 Bed,1 Bath,"1,014 Sq. Ft.","Nashville, TN, 37212"
414B Scott Ave,"$749,900",4 Beds,3 Baths,"2,310 Sq. Ft.","Nashville, TN, 37206"
2201 Chickering Ln,"$3,800,000",4 Beds,6 Baths,"6,355 Sq. Ft.","Nashville, TN, 37215"
1406B Holly St,"$750,000",3 Beds,3 Baths,"2,121 Sq. Ft.","Nashville, TN, 37206"
1102 Caldwell Ave,"$2,000,000",4 Beds,4 Baths,"3,592 Sq. Ft.","Nashville, TN, 37204"
923C Gale Ln,"$1,549,000",4 Beds,4 Baths,"3,581 Sq. Ft.","Nashville, TN, 37204"
918B Waldkirch Ave,"$1,100,000",3 Beds,4 Baths,"2,616 Sq. Ft.","Nashville, TN, 37204"
2418 Abbott Martin Rd,"$569,900",2 Beds,2 Baths,"1,163 Sq. Ft.","Nashville, TN, 37215"
8319 Saint Danasus Dr,"$365,000",2 Beds,3 Baths,"1,296 Sq. Ft.","Nashville, TN, 37211"
108 Sugarbush Ct,"$565,000",4 Beds,3 Baths,"2,709 Sq. Ft.","Nashville, TN, 37211"
2418 Abbott Martin Rd B,"$569,900",2 Beds,2 Baths,"1,163 Sq. Ft.","Nashville, TN, 37215"
1808A Warfield Dr,"$1,159,000",4 Beds,4 Baths,"2,692 Sq. Ft.","Nashville, TN, 37215"
1803 Broadway 630,"$595,000",2 Beds,1 Bath,"1,056 Sq. Ft.","Nashville, TN, 37203"
533 Northcrest Dr,"$484,900",3 Beds,2 Baths,"2,050 Sq. Ft.","Nashville, TN, 37211"
4034 Boyd Dr,"$499,999",3 Beds,2 Baths,"2,092 Sq. Ft.","Nashville, TN, 37218"
516B Snyder Ave,"$749,900",3 Beds,3 Baths,"2,161 Sq. Ft.","Nashville, TN, 37209"
3107B Hillside Rd,"$379,900",3 Beds,1 Bath,"1,324 Sq. Ft.","Nashville, TN, 37207"
1607 Northview Ave,"$420,000",2 Beds,2 Baths,"1,680 Sq. Ft.","Nashville, TN, 37216"
1212 Laurel St 2015,"$1,400,000",2 Beds,2 Baths,"1,221 Sq. Ft.","Nashville, TN, 37203"
508 Hilson Ct,"$484,900",3 Beds,2 Baths,"1,920 Sq. Ft.","Nashville, TN, 37211"
509 Hilson Ct,"$484,900",3 Beds,3 Baths,"2,028 Sq. Ft.","Nashville, TN, 37211"
116 Windsor Dr,"$1,499,900",4 Beds,3 Baths,"3,196 Sq. Ft.","Nashville, TN, 37205"
1516 Hamden Dr,"$389,900",3 Beds,3 Baths,"1,638 Sq. Ft.","Nashville, TN, 37211"
2624 Morganmeade Dr,"$493,000",3 Beds,2 Baths,"1,611 Sq. Ft.","Nashville, TN, 37216"
3428 Stokesmont Rd,"$2,774,900",4 Beds,5 Baths,"5,703 Sq. Ft.","Nashville, TN, 37215"
358 Stephens Valley Blvd,"$1,947,975",4 Beds,5 Baths,"4,073 Sq. Ft.","Nashville, TN, 37221"
803 Hillview Hts 204,"$375,000",1 Bed,1 Bath,418 Sq. Ft.,"Nashville, TN, 37204"
900 20th Ave S 1403,"$725,000",1 Bed,1 Bath,"1,015 Sq. Ft.","Nashville, TN, 37212"
2860 Sugartree Rd,"$1,475,900",4 Beds,3 Baths,"3,050 Sq. Ft.","Nashville, TN, 37215"
415 Church St,"$1,095,000",2 Beds,2 Baths,"1,144 Sq. Ft.","Nashville, TN, 37219"
3617 Richland Ave,"$3,999,999",4 Beds,6 Baths,"6,676 Sq. Ft.","Nashville, TN, 37205"
515 Church St 3011,"$1,245,500",2 Beds,2 Baths,"1,055 Sq. Ft.","Nashville, TN, 37219"
2705 Mossdale Dr,"$379,900",3 Beds,2 Baths,"1,702 Sq. Ft.","Nashville, TN, 37217"
7434 George E Horn Rd,"$700,000",4 Beds,4 Baths,"3,364 Sq. Ft.","Nashville, TN, 37221"
925 Youngs Ln,"$699,900",5 Beds,4 Baths,"4,626 Sq. Ft.","Nashville, TN, 37207"
415 Church St 1714,"$1,095,000",2 Beds,2 Baths,"1,144 Sq. Ft.","Nashville, TN, 37219"
1616 West End Avenue 2802,"$2,795,000",3 Beds,4 Baths,"1,951 Sq. Ft.","Nashville, TN, 37203"
3703A Lealand Ln,"$1,699,999",4 Beds,5 Baths,"3,749 Sq. Ft.","Nashville, TN, 37204"
303 Rose Hall,"$420,000",2 Beds,2 Baths,"1,250 Sq. Ft.","Nashville, TN, 37212"
919 Rodney Dr,"$600,000",3 Beds,2 Baths,"1,982 Sq. Ft.","Nashville, TN, 37205"
2911B Snowden Rd,"$1,750,000",4 Beds,5 Baths,"3,815 Sq. Ft.","Nashville, TN, 37204"
2617 Ashwood Ave,"$1,950,000",5 Beds,4 Baths,"4,146 Sq. Ft.","Nashville, TN, 37212"
1018 W Grove Ave,"$948,000",4 Beds,4 Baths,"2,909 Sq. Ft.","Nashville, TN, 37203"
1440 Beddington Park,"$2,099,900",4 Beds,4 Baths,"4,227 Sq. Ft.","Nashville, TN, 37215"
3509 Geneva Cir,"$995,000",5 Beds,3 Baths,"3,827 Sq. Ft.","Nashville, TN, 37209"
555 Church N 2401,"$895,000",2 Beds,2 Baths,"1,353 Sq. Ft.","Nashville, TN, 37219"
1062 General George Patton Rd,"$439,000",3 Beds,3 Baths,"1,944 Sq. Ft.","Nashville, TN, 37221"
4 Peach Blossom Sq,"$1,385,000",3 Beds,3 Baths,"3,480 Sq. Ft.","Nashville, TN, 37205"
409 Patterson St,"$650,000",4 Beds,3 Baths,"2,350 Sq. Ft.","Nashville, TN, 37211"
415 Church St 2812,"$969,999",2 Beds,2 Baths,"1,083 Sq. Ft.","Nashville, TN, 37219"
258 Ocala Dr,"$470,000",4 Beds,2 Baths,"2,100 Sq. Ft.","Nashville, TN, 37211"
1807B 5th Ave N,"$899,999",3 Beds,4 Baths,"2,140 Sq. Ft.","Nashville, TN, 37208"
1111 Porter Rd,"$599,900",3 Beds,1 Bath,"1,716 Sq. Ft.","Nashville, TN, 37206"
4226 Hillsboro Pike,"$475,000",2 Beds,3 Baths,"1,338 Sq. Ft.","Nashville, TN, 37215"
8334 Merrymount Dr,"$799,900",5 Beds,3 Baths,"3,254 Sq. Ft.","Nashville, TN, 37221"
2316 Alameda St,"$630,000",2 Beds,2 Baths,"1,053 Sq. Ft.","Nashville, TN, 37208"
2510 Belmont Blvd,"$2,700,000",6 Beds,6 Baths,"4,821 Sq. Ft.","Nashville, TN, 37212"
7544 Old Harding Pike,"$2,190,000",4 Beds,6 Baths,"6,786 Sq. Ft.","Nashville, TN, 37221"
