address,price_$,beds,bath,place,size_sq.ft
4814 E Longdale Dr,639900,3.0,3.0,"Nashville, TN, 37211",2152.0
192 Chilton St,549900,3.0,2.0,"Nashville, TN, 37211",1851.0
1702 Stokes Ln,1699000,3.0,4.0,"Nashville, TN, 37215",3702.0
407 Scott Ave,1450000,5.0,5.0,"Nashville, TN, 37206",3900.0
3912 Trimble Rd,1975000,5.0,4.0,"Nashville, TN, 37215",4340.0
756 Darden Pl,3990000,4.0,5.0,"Nashville, TN, 37205",6159.0
200 Treutland Ave,895000,5.0,4.0,"Nashville, TN, 37207",3907.0
7333 Althorp Way,445000,3.0,4.0,"Nashville, TN, 37211",2282.0
2201 8th Ave S 408,799000,2.0,2.0,"Nashville, TN, 37204",1312.0
700 Amberwood Pl,1350000,4.0,4.0,"Nashville, TN, 37221",4236.0
910B Maynor St,724900,4.0,3.0,"Nashville, TN, 37216",2412.0
1009B Alice St,749900,3.0,3.0,"Nashville, TN, 37218",2464.0
503 Summit St,875000,4.0,4.0,"Nashville, TN, 37209",2644.0
505 Summit St,875000,4.0,4.0,"Nashville, TN, 37209",2644.0
231 Graylynn Dr,575000,3.0,3.0,"Nashville, TN, 37214",2000.0
2435 Chapman Dr,925000,3.0,3.0,"Nashville, TN, 37206",2392.0
201 White Ct,1200000,5.0,4.0,"Nashville, TN, 37211",3715.0
2507 N 16th St,779900,3.0,3.0,"Nashville, TN, 37206",2350.0
627 27th Ave N 6,999000,3.0,4.0,"Nashville, TN, 37209",1979.0
228 Highland Villa Cir,374900,3.0,2.0,"Nashville, TN, 37211",2171.0
5025 Hillsboro Pike Apt 14X,299999,1.0,1.0,"Nashville, TN, 37215",837.0
1112 Sharpe Ave,709900,3.0,2.0,"Nashville, TN, 37206",2017.0
116 Shadow Glen Dr,319900,2.0,3.0,"Nashville, TN, 37211",1216.0
510 Hemstead St,650000,4.0,3.0,"Nashville, TN, 37209",2143.0
243 Wheeler Ave,494700,3.0,2.0,"Nashville, TN, 37211",1300.0
231 Rep John Lewis Way N 501,2100000,3.0,3.0,"Nashville, TN, 37219",2670.0
4341 Goins Rd,499900,4.0,3.0,"Nashville, TN, 37211",1840.0
2515 Stinson Rd,600000,4.0,3.0,"Nashville, TN, 37214",1900.0
1224 Quail Rd,230000,3.0,2.0,"Nashville, TN, 37214",1270.0
1212 Laurel St 1804,1250000,2.0,2.0,"Nashville, TN, 37203",1394.0
2201 8th Ave,799000,2.0,2.0,"Nashville, TN, 37204",1312.0
4699 Ridge Bend Dr,413770,3.0,3.0,"Nashville, TN, 37207",1601.0
805 Cherokee Ave 6,474900,2.0,3.0,"Nashville, TN, 37207",1100.0
799 Carsten St,2099900,4.0,4.0,"Nashville, TN, 37221",4521.0
2003 Pinecrest Dr,315000,2.0,3.0,"Nashville, TN, 37211",1188.0
2913 River Bend Dr,429900,4.0,2.0,"Nashville, TN, 37214",1768.0
3139 Long Blvd 101,349900,1.0,1.0,"Nashville, TN, 37203",712.0
